region;area;city;settlement;street;house
Самарская обл;;г Самара;;ул Революционная;70Д
Московская обл;;г Дзержинский;;ул Алексеевская;12
г Москва;;г Троицк;;ш Калужское;22
Респ Башкортостан;;г Кумертау;;ул Карла Маркса;1А
г Санкт-Петербург;;;;ул Стартовая;4
г Санкт-Петербург;;;;ул Симонова;14
Респ Коми;;г Сыктывкар;;пр-кт Октябрьский;156
Московская обл;;г Красногорск;д Михалково;дор Балтия;21
Новосибирская обл;;г Новосибирск;;ул Русская;41/1
Ставропольский край;;г Невинномысск;;ул Апанасенко;11
г Москва;;;;ш Ленинградское;63Б
Вологодская обл;;г Вологда;;ш Окружное;53
Липецкая обл;;г Липецк;;ул Гагарина;23
Респ Саха /Якутия/;;г Якутск;;ул Жорницкого;22
Воронежская обл;Лискинский р-н;г Лиски;;пр-кт Ленина;29
Красноярский край;Емельяновский р-н;;п Солонцы;пр-кт Котельникова;37/1
Тверская обл;;г Тверь;;ул Трудовая;105
Респ Башкортостан;;г Стерлитамак;;ул 23 Мая;34
Новгородская обл;Валдайский р-н;г Валдай;;ул Песчаная;6Д
Респ Башкортостан;;г Сибай;;ш Восточное;1
г Санкт-Петербург;;;п Парголово;ш Выборгское;232А
г Санкт-Петербург;;;;ш Глухоозёрское;9
Саратовская обл;;г Саратов;;ул Симбирская;7
Респ Саха /Якутия/;;г Якутск;;тракт Вилюйский 4 км;22
Краснодарский край;Анапский р-н;г Анапа;;ш Анапское;5
Пензенская обл;;г Пенза;;ул Одесская/Ульяновская;36
Краснодарский край;;г Краснодар;;ул им. Евдокии Бершанской;349Б
Московская обл;г Пушкино;;;ш Кудринское;6
Ханты-Мансийский Автономный округ - Югра АО;;г Ханты-Мансийск;;ул Шевченко;10
Саратовская обл;;г Саратов;тер Сокурский тракт;;1А
Респ Крым;;г Алушта;;ул Октябрьская;21
Волгоградская обл;Алексеевский р-н;;ст-ца Алексеевская;ул Октябрьская;68
Нижегородская обл;Володарский р-н;;сп Мулино;ул Школьная;14
Респ Удмуртская;;г Ижевск;;ул Союзная;163А
Ставропольский край;Арзгирский р-н;;с Арзгир;ул Кирова;48Г
г Москва;;;;ул Изюмская;37
Хабаровский край;;г Николаевск-на-Амуре;;ул Гоголя;29
Респ Башкортостан;;г Уфа;;ул Степана Злобина;26
Астраханская обл;;г Астрахань;;ул Николая Ветошникова;12
г Санкт-Петербург;;;;коса Петровская;6
Тюменская обл;Исетский р-н;;с Шорохово;ул Первомайская;6
г Москва;;;;ул Лукинская;8
Респ Татарстан;;г Казань;;ул Октябрьская;5
Краснодарский край;Северский р-н;;пгт Афипский;ул Ленина;114
Нижегородская обл;;г Нижний Новгород;;ул Большая Окружная;74
Красноярский край;;г Зеленогорск;;ул Калинина;23
Ленинградская обл;Всеволожский р-н;г Мурино;;ул Шоссе в Лаврики;56
Челябинская обл;;г Челябинск;;пр-кт Победы;192Б
Волгоградская обл;Даниловский р-н;;рп Даниловка;ул Центральная;29
Оренбургская обл;;г Бугуруслан;;ул Красногвардейская;63
Саратовская обл;;г Саратов;;ул Большая Горная;339/96
Иркутская обл;;г Тайшет;;ул Транспортная;13/1Н
Алтайский край;Локтевский р-н;г Горняк;;ул Миронова;107Б
Кемеровская область - Кузбасс;;г Ленинск-Кузнецкий;;ул Проезжая;8
Псковская обл;Себежский р-н;;тер Автодорога Москва-Балтия;км 616;1
Омская обл;;г Омск;мкр Входной;;19
Ставропольский край;Предгорный р-н;;ст-ца Ессентукская;ул Садовая;29
Ханты-Мансийский Автономный округ - Югра АО;;г Когалым;;ул Строителей;4
Иркутская обл;;г Ангарск;мкр 10;;46
Свердловская обл;;г Екатеринбург;;ул Татищева;1
Волгоградская обл;;г Волгоград;;ул 50 лет Октября;13
Амурская обл;;пгт Прогресс;;ул Огарева;3
Самарская обл;;г Самара;;пр-кт Кирова;316
Московская обл;;г Солнечногорск;;ул Красная;161
Приморский край;;г Владивосток;;пр-кт Острякова;7
Еврейская Аобл;Смидовичский р-н;;п Волочаевка-2;ул Шелеста;35Б
Свердловская обл;;г Красноуральск;;ул Устинова;108
Респ Крым;;г Керчь;;ул Большевистская;1
Краснодарский край;Староминский р-н;;ст-ца Староминская;ул Привокзальная;124
Ленинградская обл;Волосовский р-н;г Волосово;;пр-кт Вингиссара;37
г Санкт-Петербург;;;;пр-кт Лиговский;74
Сахалинская обл;Южно-Курильский р-н;;с Малокурильское;ул Советская;17
Респ Удмуртская;Якшур-Бодьинский р-н;;д Мукши;ул Кирова;6
Свердловская обл;Верхнесалдинский р-н;г Верхняя Салда;;ул Энгельса;85
г Санкт-Петербург;;;;ул Крупской;51
Самарская обл;;г Самара;;ул Антонова-Овсеенко;59
Респ Адыгея;;г Майкоп;;ул Гоголя;12
Новосибирская обл;Мошковский р-н;;с Сокур;ул Базарная;2Б
Оренбургская обл;;г Орск;;ул Металлистов;15
Иркутская обл;Иркутский р-н;;д Сосновый Бор;ул Мелехова;15
Алтайский край;Змеиногорский р-н;г Змеиногорск;;ул Ломоносова;73
Московская обл;;г Мытищи;;б-р Тенистый;8
Омская обл;;г Омск;;ул Красный Путь;155
Астраханская обл;;г Астрахань;;ул Татищева;16Б
г Санкт-Петербург;;;;линия 20-я В.О.;13
г Москва;;;;пл Преображенская;6
Забайкальский край;Читинский р-н;;мкр Забайкальская птицефабрика (с Новая Кука);ул 1-я Дачная;13
Ростовская обл;Аксайский р-н;г Аксай;;пр-кт Ленина;25
Тюменская обл;Тобольский р-н;;д Медянки Татарские;ул Кооперативная;9
Липецкая обл;Задонский р-н;г Задонск;;ул Степанищева;17
Калининградская обл;;г Советск;;ул Бетховена;18
Респ Алтай;;г Горно-Алтайск;;пр-кт Коммунистический;155
Омская обл;;г Омск;;ул Сергея Тюленина;5В
Респ Бурятия;;г Улан-Удэ;;ул Юного Коммунара;8
Кемеровская область - Кузбасс;;г Новокузнецк;р-н Орджоникидзевский;ул Разведчиков;72
Оренбургская обл;;г Сорочинск;;ул Володарского;21В
Московская обл;г Одинцово;;;ш Можайское;169
Свердловская обл;;г Екатеринбург;;ул Хрустальногорская;83
Респ Башкортостан;;г Октябрьский;;проезд Островского;10А
Московская обл;;г Люберцы;мкр Зенино ЖК Самолёт;ул Вертолетная;14
Самарская обл;Кинельский р-н;;с Александровка;ул Алексеева;10
Кировская обл;;г Киров;;ул Свободы;84
Пензенская обл;;г Пенза;;ул Измайлова;58А
Омская обл;Горьковский р-н;;рп Горьковское;ул Заводская;2
Новосибирская обл;;г Новосибирск;;ул Зорге;3
Респ Крым;Симферопольский р-н;;с Перевальное;ул Дачная;65
Тульская обл;;г Тула;тер ГК N-10 Ленина;;85
Свердловская обл;;г Екатеринбург;;ул Евгения Савкова;35/2
Красноярский край;Курагинский р-н;;пгт Большая Ирба;ул Ленина;1
Московская обл;;г Лосино-Петровский;д Корпуса;ул Ленина;6А
Орловская обл;;г Орёл;;ул Приборостроительная;10
Амурская обл;;г Циолковский;;ул Победы;19
Новосибирская обл;;г Бердск;;ул Белокаменная;71
Вологодская обл;;г Вологда;;ул Мира;17
Омская обл;Крутинский р-н;;рп Крутинка;ул Аптекарская;10А
г Санкт-Петербург;;;;пр-кт Богатырский;7
Калининградская обл;Гусевский р-н;г Гусев;;ул Победы;10
Тульская обл;Арсеньевский р-н;;пгт Славный;ул Мира;62/88
Респ Башкортостан;;г Уфа;;ул Машиностроителей;10
Пензенская обл;;г Пенза;;ул Генерала Глазунова;1
Московская обл;г Ногинск;;;ул Комсомольская;24А
г Санкт-Петербург;;;;пр-кт Науки;21
Ханты-Мансийский Автономный округ - Югра АО;;г Сургут;;пр-кт Ленина;51/1
Новосибирская обл;;г Новосибирск;;ул Никитина;60
Ульяновская обл;;г Ульяновск;;ул Федерации;3
Оренбургская обл;;г Орск;;пр-кт Ленина;128
Калининградская обл;;г Калининград;;ул Автомобильная;18
Краснодарский край;Темрюкский р-н;;ст-ца Голубицкая;ул Курортная;121А
Ставропольский край;;г Ставрополь;;ул 50 лет ВЛКСМ;58/1
Респ Бурятия;Джидинский р-н;;с Нижний Торей;ул им А.Мельникова;67А
Краснодарский край;;г Сочи;;ул Пионерская;1
Краснодарский край;;г Краснодар;;ул Западный Обход;57
г Москва;;;;ул 800-летия Москвы;21
Нижегородская обл;;г Нижний Новгород;;ул Большая Печерская;30
Мурманская обл;Кандалакшский р-н;г Кандалакша;;ул Первомайская;2
Красноярский край;Емельяновский р-н;;с Никольское;ул Солидарности;1А
Омская обл;Павлоградский р-н;;рп Павлоградка;ул Больничная;6
г Санкт-Петербург;;;;пр-кт Лиговский;43-45
Ростовская обл;;г Азов;;ул Макаровского;81
Краснодарский край;;г Краснодар;;ул Северная;270/1
г Москва;;;;пер Переведеновский;13
Приморский край;;г Партизанск;;ул Вокзальная;13
Ивановская обл;;г Тейково;;ул 1-я Красная;98
Тюменская обл;Тобольский р-н;;с Малая Зоркальцева;ул Советская;5А/1
Вологодская обл;;г Вологда;;ул Ленинградская;77Б
г Москва;;;;ул Красная Пресня;46
Респ Татарстан;Нижнекамский р-н;г Нижнекамск;;пр-кт Шинников;10В
Респ Башкортостан;;г Уфа;;ул Деревенская переправа;49/2
Свердловская обл;Сысертский р-н;;с Щелкун;ул Власова;2
Хабаровский край;;г Хабаровск;;ул Краснореченская;191
Респ Татарстан;;г Казань;;ул Оренбургский Тракт;138Д
Новосибирская обл;;г Новосибирск;;мгстр Вокзальная;4А
Белгородская обл;Белгородский р-н;;пгт Разумное;ул Шоссейная;8
Свердловская обл;;г Екатеринбург;п Шувакиш;ул Зеленая;1
Новосибирская обл;;г Новосибирск;;ул Владимира Заровного;10
Владимирская обл;Собинский р-н;г Лакинск;;ул Пушкина;8
Владимирская обл;Вязниковский р-н;г Вязники;;ул Риммы Гавриловой;6
г Москва;;;;проезд Шокальского;20
Самарская обл;;г Самара;;ул Ташкентская;220/22
г Москва;Щаповское п;;д Шаганино;;14А
Мурманская обл;;г Мурманск;;ул Полярные Зори;43
Респ Крым;;г Ялта;;ул Гоголя;28
г Москва;;;;ул Главмосстроя;14
Респ Крым;;г Красноперекопск;;мкр 1;1А/1
Московская обл;;г Люберцы;рп Малаховка;ш Касимовское;3Б/1
Пермский край;Пермский р-н;;с Култаево;ул Мелиораторов;2
Свердловская обл;;г Екатеринбург;;ул Вайнера;55Б
Омская обл;;г Омск;;ул Декабристов;98
Омская обл;Таврический р-н;;рп Таврическое;ул Съездовская;15
Алтайский край;Шипуновский р-н;;с Шипуново;пр-кт Комсомольский;60А
Иркутская обл;;г Иркутск;;ул Советская;58
Респ Дагестан;;г Махачкала;;пр-кт Имама Шамиля;89
Тюменская обл;Голышмановский р-н;;рп Голышманово;ул Пролетарская;126
Ямало-Ненецкий АО;Надымский р-н;;пгт Пангоды;ул Ленина;43Д
Амурская обл;Селемджинский р-н;;пгт Февральск;ул Енисейская;9
Самарская обл;;г Самара;;ул Красноармейская;10
Курганская обл;Куртамышский р-н;г Куртамыш;;пр-кт Ленина;14
Самарская обл;;г Тольятти;;пр-кт Степана Разина;12А
Краснодарский край;Кущевский р-н;;ст-ца Кисляковская;ул Красная;152
Хабаровский край;Ульчский р-н;;с Булава;ул Советская;18
Свердловская обл;Камышловский р-н;;с Калиновское;ул Ленина;2А
Иркутская обл;;г Иркутск;;ул Баррикад;60
Алтайский край;;г Заринск;;ул Сыркина;41
Красноярский край;Березовский р-н;;пгт Березовка;ул Мичурина;15
Свердловская обл;;г Екатеринбург;;ул Маневровая;13
Ямало-Ненецкий АО;;г Надым;;пр-кт Ленинградский;11
Московская обл;г Ногинск;;д Новое Подвязново;тер Промплощадка N 1;1
г Санкт-Петербург;;;;ул Орджоникидзе;58
Алтайский край;;г Барнаул;;ул Взлетная;99Н
Рязанская обл;;г Рязань;;ул Новоселов;30
Мурманская обл;;г Мурманск;;ш Верхне-Ростинское;27
Приморский край;;г Владивосток;;ул Алеутская;45
Томская обл;;г Томск;п Светлый;пер Маленький;12
Московская обл;;г Солнечногорск;рп Менделеево;ул Пионерская;3
Краснодарский край;;г Краснодар;;ул Пашковская;82
Иркутская обл;;г Иркутск;;ул Баумана;214/6
г Санкт-Петербург;;;;ул Малая Посадская;19
Краснодарский край;;г Краснодар;;ул им. 40-летия Победы;186
г Севастополь;;;;пр-кт Генерала Острякова;89А
Чувашская Республика - Чувашия;;г Чебоксары;;ул Спортсмена Валериана Соколова;6
Респ Крым;;г Ялта;пгт Отрадное;ул Лазурная;16
Респ Крым;;г Симферополь;;пер Пионерский;20
Томская обл;;г Томск;;ул Маяковского;25
Амурская обл;;г Белогорск;;ул Ленина;113
Ярославская обл;;г Ярославль;;пл Ярославль Главный;1А
Пермский край;;г Пермь;;ул Полины Осипенко;52
Ямало-Ненецкий АО;;г Ноябрьск;мкр Н;;103
Алтайский край;Усть-Калманский р-н;;с Усть-Калманка;ул Ленина;30
Оренбургская обл;;г Оренбург;;ул Поляничко;2А
Московская обл;;г Чехов;;ул Уездная;19Б
Краснодарский край;Апшеронский р-н;г Хадыженск;;ул Ленина;71
Пермский край;;г Пермь;;ул Мира;3
Ярославская обл;Тутаевский р-н;г Тутаев;;ул Пролетарская;3
Челябинская обл;;г Челябинск;;ул Пушкина;63
г Москва;;;;ул Лобненская;13
Челябинская обл;;г Челябинск;;ул Молодогвардейцев;60
Респ Крым;;г Симферополь;;ул Берекетли;24
Новосибирская обл;Черепановский р-н;г Черепаново;;ул Партизанская;66
Респ Башкортостан;Благовещенский р-н;г Благовещенск;;ул Седова;98/А
Респ Коми;;г Воркута;;ул Ленина;4
Респ Крым;;г Симферополь;;ул Луговая;141
Московская обл;;г Дубна;;ул Курчатова И.В.;14
Омская обл;;г Омск;;ул Транссибирская;15П
Московская обл;г Одинцово;;д Жуковка;;70
Сахалинская обл;Корсаковский р-н;г Корсаков;;ул Советская;7
Краснодарский край;Гулькевичский р-н;г Гулькевичи;;ул Торговая;3
г Москва;;;;ул Земляной Вал;24/30
Тюменская обл;;г Тюмень;;ул Олимпийская;42
Липецкая обл;;г Липецк;;ул им. Академика Вавилова;6
Ивановская обл;;г Иваново;;ул 10 Августа;43
Московская обл;;г Раменское;с Софьино;;15А
г Москва;;;;ул Автозаводская;7
Кемеровская область - Кузбасс;Крапивинский р-н;;с Борисово;тер Санаторий;11
Респ Хакасия;Усть-Абаканский р-н;;с Красноозерное;ул Центральная;10
Приморский край;;г Находка;;ул Рыбацкая;17В
Иркутская обл;;г Зима;;ул Ангарская;7
Иркутская обл;Зиминский р-н;;с Масляногорск;ул Коммунаров;43
Томская обл;Молчановский р-н;;с Нарга;ул Ленина;23
г Москва;;г Троицк;;пл Академическая;4
Владимирская обл;;г Владимир;нп Турбаза Ладога;ул Сосновая;47
Респ Бурятия;;г Улан-Удэ;;ул Лимонова;2Б
Свердловская обл;Белоярский р-н;;с Бруснятское;ул Ленина;34
Кемеровская область - Кузбасс;Новокузнецкий р-н;;п Терехино;ул Центральная;36А
Омская обл;;г Омск;;пл Ленинградская;13А
Курская обл;;г Курск;;ул Широкая;5
Новосибирская обл;Болотнинский р-н;г Болотное;;ул 50 лет Октября;2
Рязанская обл;Касимовский р-н;;с Ибердус;;235
Ивановская обл;;г Иваново;;ул Дюковская;27
Приморский край;;г Дальнегорск;;пр-кт 50 лет Октября;55
Алтайский край;Заринский р-н;;с Новокопылово;ул Центральная;21
Кемеровская область - Кузбасс;Яйский р-н;пгт Яя;;ул Озерная;25А
Омская обл;Муромцевский р-н;;рп Муромцево;ул Ленина;45
Приморский край;;г Спасск-Дальний;;ул Покуса;28А
Иркутская обл;;г Иркутск;;ул Якоби;32А/2
Тамбовская обл;Мичуринский р-н;;с Кочетовка;ул Центральная;23
Пермский край;Куединский р-н;;с Бикбарда;ул Базарная;6
Респ Карелия;Лахденпохский р-н;;п Куркиеки;ул Ленина;6А
Псковская обл;Куньинский р-н;;рп Кунья;ул Больничная;3
Ленинградская обл;Всеволожский р-н;;гп имени Морозова;ул Скворцова;6
Новосибирская обл;Краснозерский р-н;;с Половинное;ул Мира;34А
Забайкальский край;Петровск-Забайкальский р-н;;с Нижний Тарбагатай;ул Партизанская;25
Омская обл;Нижнеомский р-н;;с Нижняя Омка;ул Строителей;34А
Свердловская обл;Сысертский р-н;;с Черданцево;ул Ленина;27
Хабаровский край;;г Хабаровск;;ул Подгаева;3
Свердловская обл;Пышминский р-н;;пгт Пышма;ул Кирова;5А
Тульская обл;Куркинский р-н;;рп Куркино;ул Октябрьская;44
Новгородская обл;Солецкий р-н;г Сольцы;;ул Мелиораторов;25
Нижегородская обл;Богородский р-н;;д Букино;ул Молодежная;4
Тульская обл;Киреевский р-н;г Болохово;;ул Советская;14
Свердловская обл;;г Екатеринбург;;ул Кировградская;1А
Алтайский край;Шипуновский р-н;;п Первомайский;ул Тарасова;31
Иркутская обл;Черемховский р-н;;с Голуметь;ул Калинина;14А
Сахалинская обл;Томаринский р-н;г Томари;;ул Октябрьская;41
Рязанская обл;Спасский р-н;г Спасск-Рязанский;;ул Рязанское шоссе;1
Краснодарский край;;г Сочи;;ул Разина;18/15
Красноярский край;Новоселовский р-н;;с Новоселово;ул Советская;12
Калужская обл;Хвастовичский р-н;;с Хвастовичи;ул Гагарина;24
Омская обл;;г Омск;;ул Российская;11
Красноярский край;Минусинский р-н;;п Прихолмье;ул Зеленая;17
Приморский край;;г Находка;мкр поселок Ливадия;ул Заводская;29
Иркутская обл;Ольхонский р-н;;с Еланцы;ул Ленина;61
Сахалинская обл;;г Южно-Сахалинск;;ул Амурская;4
Алтайский край;Первомайский р-н;;с Первомайское;ул Ленина;6А
Свердловская обл;;г Красноуфимск;;ул Казанская;27А
Респ Бурятия;Прибайкальский р-н;;с Гремячинск;ул Лесная;23
Респ Марий Эл;Звениговский р-н;г Звенигово;;ул Гагарина;1
Респ Коми;Прилузский р-н;;с Мутница;ул Дуговая;16
Свердловская обл;;г Ирбит;;ул Маршала Жукова;2
Кемеровская область - Кузбасс;Промышленновский р-н;;д Васьково;ул Центральная;34
Свердловская обл;Сухоложский р-н;;с Филатовское;ул Ленина;67
Респ Татарстан;Агрызский р-н;;с Варклед-Бодья;ул Советская;25А
Омская обл;Черлакский р-н;;с Соляное;ул Школьная;12
Ивановская обл;;г Иваново;;ул Ермака;33
Забайкальский край;Балейский р-н;г Балей;;ул Якимова;1
Алтайский край;Тюменцевский р-н;;с Шарчино;ул Ленина;12В
Новосибирская обл;Сузунский р-н;;рп Сузун;ул Ленина;54
Новосибирская обл;;г Искитим;;казарма 52 км;1
Респ Башкортостан;Баймакский р-н;г Баймак;;ул Ленина;68
Красноярский край;;г Лесосибирск;гп Стрелка;ул Набережная;4А
Кемеровская область - Кузбасс;;г Белово;пгт Инской;ул Свободы;1
Тюменская обл;Аромашевский р-н;;с Аромашево;ул Ленина;139Б
Тюменская обл;;г Тюмень;;ул Красноармейская;5
Кемеровская область - Кузбасс;;г Белово;;ул Щорса;56
Владимирская обл;;г Владимир;;ул Новгородская;2
Респ Мордовия;;г Саранск;;ул Красноармейская;12
Оренбургская обл;;г Оренбург;;ул Шевченко;26
Ленинградская обл;Выборгский р-н;г Выборг;;наб 40-летия ВЛКСМ;2
Челябинская обл;;г Челябинск;;ул Хуторная;70/1
Свердловская обл;;г Полевской;;ул Ильича;17А
Омская обл;Нижнеомский р-н;;с Нижняя Омка;ул Юбилейная;14
Красноярский край;Курагинский р-н;;с Имисское;ул Совхозная;8
Кемеровская область - Кузбасс;Прокопьевский р-н;;с Верх-Егос;ул Центральная;25
Алтайский край;Калманский р-н;;с Калистратиха;ул Техническая;18
Рязанская обл;;г Рязань;;ул Интернациональная;20
Томская обл;;г Томск;;ул Карла Маркса;2
Респ Калмыкия;;г Элиста;;ул им Н.С.Хрущева;29А
Пермский край;Чердынский р-н;;п Керчевский;ул Коммунистическая;30
Омская обл;Оконешниковский р-н;;рп Оконешниково;ул Пролетарская;50
Тюменская обл;Исетский р-н;;п Новикова;ул С.Новикова;4
Омская обл;;г Омск;;ул 6-я Станционная;9
Московская обл;;г Красногорск;;ул Светлая;11
г Москва;;;;ул Головачёва;25
Московская обл;;г Руза;рп Тучково;мкр Восточный;30
Новосибирская обл;;г Бердск;;ул О.Кошевого;7
Иркутская обл;Братский р-н;;с Ключи-Булак;ул Ленина;2Б
Новосибирская обл;;г Новосибирск;;пр-кт Красный;317
Респ Бурятия;Селенгинский р-н;г Гусиноозерск;тер Энергетиков Поселок;;28
Краснодарский край;;г Геленджик;;пр-кт Геленджикский;112
Краснодарский край;;г Сочи;;ул Воровского;152
Сахалинская обл;Ногликский р-н;;пгт Ноглики;ул Гагарина;6
Московская обл;;г Волоколамск;с Спасс;ул Центральная;12Б
Московская обл;г Орехово-Зуево;;;проезд Лермонтова;22
Иркутская обл;Братский р-н;;с Кузнецовка;ул Трактовая;16
Сахалинская обл;Анивский р-н;г Анива;;ул Заречная;12
Красноярский край;Емельяновский р-н;;п Минино;ул Озерная;11Б
Чувашская Республика - Чувашия;;г Чебоксары;;ул Эльменя;24
Новосибирская обл;;г Обь;;ул Чкалова;40А
Амурская обл;Магдагачинский р-н;;пгт Сиваки;ул Амурская;10
Московская обл;г Истра;;д Ленино;;2В
Тульская обл;Ефремовский р-н;;д Кытино;;37
Свердловская обл;Байкаловский р-н;;д Скоморохова;ул Жданова;9
Чукотский АО;Анадырский р-н;;с Алькатваам;ул Гагарина;8
Пермский край;Пермский р-н;;с Гамово;ул Центральная;35
Свердловская обл;Шалинский р-н;;пгт Шаля;ул Орджоникидзе;10А
Забайкальский край;Петровск-Забайкальский р-н;;с Баляга;ул 40 лет Победы;16
Кемеровская область - Кузбасс;Прокопьевский р-н;;с Карагайла;ул Ленина;19
Кемеровская область - Кузбасс;Гурьевский р-н;;п Сосновка;ул Коммунистическая;1А
Самарская обл;;г Самара;;пл Куйбышева;1
Псковская обл;Островский р-н;г Остров;;мкр Строитель;1А
Кемеровская область - Кузбасс;Тисульский р-н;;с Куликовка;ул Советская;58
Свердловская обл;;г Ревда;;ул Спортивная;2
Калининградская обл;;г Калининград;;ул Университетская;1
Новосибирская обл;Кочковский р-н;;с Кочки;ул Мира;10
Иркутская обл;Киренский р-н;г Киренск;мкр Центральный;ул Красноштанова;2В
Иркутская обл;;г Черемхово;;ул Декабрьских Событий;50
Новосибирская обл;;г Новосибирск;;ул Выборная;89/1
Сахалинская обл;;г Южно-Сахалинск;кв-л Весточка;;1
Московская обл;;г Раменское;с Новое;ул Карла Маркса;24
Кемеровская область - Кузбасс;Топкинский р-н;;с Лукошкино;ул Старая Лукошкинская;15
Пермский край;;г Пермь;;ул Сибирская;49
Ставропольский край;Кировский р-н;;ст-ца Зольская;ул Садовая;2
Новосибирская обл;Маслянинский р-н;;с Мамоново;ул Молодежная;1А
Новосибирская обл;Новосибирский р-н;;п Ленинский;ул Центральная;31
Респ Крым;;г Саки;;ул Новоселовское шоссе;1А
Респ Башкортостан;Хайбуллинский р-н;;с Акъяр;ул Тухвата Мурата;46А
Респ Саха /Якутия/;;г Якутск;;ул Дежнева;78
Челябинская обл;;г Челябинск;;ул Гагарина;9
Респ Удмуртская;Балезинский р-н;;п Балезино;ул Карла Маркса;75
Респ Коми;;г Ухта;;ул Западная;8
Курская обл;Кореневский р-н;;пгт Коренево;ул им Осипенко;92В
Нижегородская обл;;г Нижний Новгород;;ул Макса Гельца;60В
Пермский край;;г Лысьва;;ул Суворова;8
Новгородская обл;Валдайский р-н;г Валдай;;ул Молодёжная;17
Московская обл;;г Долгопрудный;;пр-кт Лихачевский;26
Ростовская обл;Константиновский р-н;г Константиновск;;ул 24 Гвардейской Дивизии;4В
Респ Тыва;;г Кызыл;;ул Маяковского;91А
Курская обл;;г Курск;;ул Сумская;140
Нижегородская обл;Починковский р-н;;с Починки;ул Новая Колхозная;52
Новгородская обл;Боровичский р-н;г Боровичи;;ул Софьи Перовской;6Б
Ставропольский край;Александровский р-н;;с Александровское;ул К.Маркса;87
Алтайский край;Крутихинский р-н;;с Крутиха;ул Заготзерно;22
Московская обл;;г Серпухов;;ул Калужская;140
Ямало-Ненецкий АО;;г Салехард;тер Площадка N33/1;;
Новосибирская обл;Здвинский р-н;;с Здвинск;ул Здвинского;85
Свердловская обл;;г Екатеринбург;;ул Ереванская;20
Краснодарский край;;пгт Сириус;;ул Станиславского;1
Омская обл;;г Омск;;ул 9-я Ленинская;55Б
Ростовская обл;;г Таганрог;;ул Чехова;326
Ростовская обл;Аксайский р-н;г Аксай;;ул Авиаторов;1
Липецкая обл;;г Липецк;;ул Белянского А.Д.;7
Рязанская обл;;г Рязань;;ш Михайловское;63
Респ Коми;;г Сыктывкар;;ул Морозова;99
Респ Марий Эл;;г Йошкар-Ола;;ул Красноармейская;124
Владимирская обл;;г Владимир;;ш Московское;5А
Респ Мордовия;Чамзинский р-н;;рп Чамзинка;мкр Шестой;5А
Кемеровская область - Кузбасс;;г Тайга;;ул 40 лет Октября;36Б
Красноярский край;;г Красноярск;;ул Калинина;63Г
Тверская обл;;г Ржев;;ш Осташковское;18
Челябинская обл;;г Челябинск;;ул Блюхера;1А
Новосибирская обл;;г Новосибирск;;ул Бориса Богаткова;163А
Ростовская обл;;г Волгодонск;;ул Складская;1
Московская обл;г Ногинск;г Старая Купавна;;ул Чехова;9
Челябинская обл;;г Челябинск;;ул Труда;22
Свердловская обл;Невьянский р-н;г Невьянск;;ул Строителей;16
Воронежская обл;;г Воронеж;;ул Дорожная;36Д
Белгородская обл;;г Губкин;;ул Алехина;4
Курганская обл;Юргамышский р-н;;рп Юргамыш;ул Вокзальная;42К
Самарская обл;;г Сызрань;;ул Котовского;53
Волгоградская обл;;г Волгоград;;ул им. Землячки;41А
Вологодская обл;;г Вологда;;ш Окружное;51
Краснодарский край;Анапский р-н;;ст-ца Анапская;ул Мира;35
Ленинградская обл;Всеволожский р-н;;гп Кузьмоловский;ул Заводская;78
г Санкт-Петербург;;;;ул Грузинская;5
Респ Крым;;г Симферополь;;ул Механизаторов;64/27
Ленинградская обл;Бокситогорский р-н;г Бокситогорск;;ул Городская;1
Ростовская обл;;г Новошахтинск;;ул Советской Конституции;7А
Челябинская обл;;г Челябинск;;ул Садовая (АМЗ);5А
г Санкт-Петербург;;;;ул Пестеля;25
Самарская обл;;г Тольятти;;ул Ярославская;14А
Респ Татарстан;Черемшанский р-н;;с Ульяновка;ул Центральная;53
Иркутская обл;;г Иркутск;мкр Юбилейный;;48
г Москва;;;;пл Таганская;86/1
Калининградская обл;;г Калининград;;ул Красносельская;1А
Ростовская обл;Кагальницкий р-н;;ст-ца Кагальницкая;ул Пролетарская;52/4
Иркутская обл;Иркутский р-н;;д Ширяева;ул Специалистов;1
Московская обл;г Наро-Фоминск;;рп Калининец;;244А
Оренбургская обл;Илекский р-н;;с Илек;ул Мира;26
Приморский край;;г Владивосток;;ул Адмирала Юмашева;19
Ростовская обл;Аксайский р-н;;х Нижнетемерницкий;тер. СНТ Содружество;1055
Московская обл;г Пушкино;г Ивантеевка;;ул Победы;32
г Санкт-Петербург;;;;ул 10-я Красноармейская;11
Московская обл;;г Лобня;;ул Краснополянская;28Д
г Санкт-Петербург;;;;линия 18-я В.О.;13
Краснодарский край;;г Краснодар;х Ленина;ул Васюринская;37
г Санкт-Петербург;;;;пр-кт Загородный;30
Вологодская обл;;г Череповец;;пр-кт Октябрьский;25А
г Москва;;;;ул Недорубова;18
Челябинская обл;;г Челябинск;;ул Братьев Кашириных;102В
Респ Крым;;г Керчь;;ул Генерала Петрова;26
Самарская обл;;г Самара;п Зубчаниновка;ул Товарная;37А
Ярославская обл;Рыбинский р-н;г Рыбинск;тер ГМ по улице Новоселов;;1А
г Санкт-Петербург;;;тер. СНТ Дачное Электроавтоматика;аллея Речная;75
